question,answer
staff testing,"We hear you, and we are here to help. Support has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
4g refreshed,"We appreciate you bringing this to our attention. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
other enquery,"We appreciate you bringing this to our attention. We have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
4g refresh done,"We hear you, and we are here to help. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
cant do payment of leasedline through mbob.informed to once contact bank,"We understand this can be frustrating. Regarding your internet issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
sim lost,"Sorry this happened. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Lease line issue (no connection) Fiber Down ST SUPPLIERS_17735560|2Mbps|4.4153| Location:Double turning,Motithang Contact:17735560 kindly check la.","We hear you, and we are here to help. For internet service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
silent call,"Your concern is valid, and we are checking it now. Our team has marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Package activation,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Chulkipong, Down as per report from NNOC","Thank you for your patience. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
call drop,We understand your concern. Support has logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored.
Net refreshed,"We appreciate you bringing this to our attention. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
17876482 4g refreshed,"We appreciate you bringing this to our attention. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Re-download bt apps,"We understand your concern. For your mobile request, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
deducted in Youtube,"We understand this can be frustrating. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
MINISTRY OF HEALTH|80Mbps|3.257| customer number 77204120 Kawajansia MOH,"Apologies for the disruption. For internet service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sim replacement inquiry,"Thank you for your patience. For mobile service, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Mobile internet issue at Chali, Mongar since last 1 week. Complaint received from: 17362147 kindly check la.","We understand your concern. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
following up on data reversal requested on 30th sept,"We understand your concern. For mobile service, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Telegram,"We hear you, and we are here to help. We already have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
Rate plan changed as per customer request,"We understand this can be frustrating. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Talktime to package transfer,"Thank you for your patience. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Gate way down due to power supply issue,"We regret the trouble caused. Regarding your internet issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
Bonus inquiry,"We appreciate you bringing this to our attention. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
sim expired/Inform to replace it,"We regret the trouble caused. For your mobile request, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
informed to recharge,"We regret the trouble caused. For mobile service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
"Inquiry to upgrade 4g, Infomred to visit nearest counter and replace sim for 4g","Thanks for reporting this. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
LL bill payment enquiry.,"Your concern is valid, and we are checking it now. For internet service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
enquiring on iphone stock,"Thank you for your patience. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
17578597-Sim enquiry.Inform its issued to other customer,"We understand your concern. Our mobile support team has verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
rate plain,"We understand this can be frustrating. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"package expire,customer giving feedback that customer should get 5 day to recharge","Thanks for reporting this. Regarding your mobile issue, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
4g refreshed on 17318189,"Thanks for reporting this. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
"Fixed line sound disturbances , 350098 location -Wangyal Cafe,RTC contact no-17545041 Kindly check la.","Thank you for your patience. We already have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
connect to phone counter,"Thanks for reporting this. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
no enquiry,"Thanks for reporting this. Our team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
sim info,"We understand your concern. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
3g Sim,"We understand your concern. Regarding your mobile issue, we have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
Ownership change enquiry,"Your concern is valid, and we are checking it now. We have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
customer used data,"We understand your concern. For your mobile request, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
recharge enquery,"Sorry this happened. For your mobile request, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
Freeze 699 from cc. Kindly transfer 699 package from 17809879 to 17960469.,"Thanks for reporting this. For mobile service, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Data reversal from 17452020 to 17452720(199),"Apologies for the disruption. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Data reversal form 97517606193 to 97517354573(699),"Your concern is valid, and we are checking it now. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
"Inquiry about Tejas router replacement, transferred call to information desk","Apologies for the disruption. We have verified your SIM or activation-related request. Please keep your device on and retry after some time; if replacement is required, visit the nearest support center."
"Freeze 99 from 17578991,transfer to 17291665","Your concern is valid, and we are checking it now. Regarding your mobile issue, we have registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
Bngul unblocked,"We hear you, and we are here to help. Our mobile support team has registered your complaint and reviewed the details. The request has been forwarded to the responsible team, and you will receive an update after investigation."
eacalated from 17822181,"We hear you, and we are here to help. Regarding your mobile issue, we have marked this case as withdrawn in our records. If the issue is still active, reopen the complaint with latest details and we will take it up immediately."
17318189-4g refreshed,"We appreciate you bringing this to our attention. For mobile service, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
BT APPS RE DOWNLOAD,"Apologies for the disruption. Regarding your mobile issue, we have logged a network quality check for your area. The technical team will test the line or tower and share an update once service performance is restored."
bill enquery,"We understand your concern. For internet service, we have checked your billing records and validated the related transactions. If any amount is still incorrect, share your account number and transaction time so we can process correction or reversal quickly."
